"Kanji";"Hiragana";"English"
"タオル";"タオル";"towel"
"だが";"だが";"but, however, (and) yet, nevertheless, still, for all that"
"高い";"たかい";"high, tall, expensive"
"たがい";"たがい";"mutual, reciprocal"
"たから";"たから";"treasure"
"だから";"だから";"so, therefore"
"たく";"たく";"house, home, husband"
"たく";"たく";"to cook (esp. grain, pulses, etc., such as rice or beans), to boil"
"たく";"たく";"to burn, to kindle, to build a fire"
"タクシー";"タクシー";"taxi"
"竹";"たけ";"bamboo, middle (of a three-tier ranking system)"
"だけど";"だけど";"however"
"たしか";"（~３年前だった）";"certain, sure, definite; (adverb) if I'm not mistaken, if I remember correctly"
"確か";"たしか";"certain, sure, definite; (adverb) if I'm not mistaken, if I remember correctly"
"多少";"たしょう";"more or less, somewhat, a little, some"
"出す";"だす";"to take out, to get out, to put out, to reveal, to show, to submit (e.g. thesis), to turn in, to publish, to make public, to send (e.g. letter), to produce (a sound), to start (fire), to serve (food); (suffix) to begin"
"~だす";"~だす";
"たずねる";"たずねる";"to visit"
"ただいま";"ただいま";"Here I am, I'm home!; (adverb) presently, right away, right now, just now"
"戦い";"たたかい";"battle, fight, struggle, conflict"
"たたく";"たたく";"to strike, to clap, to dust, to beat, to play drums, to abuse, to flame (e.g. on the Internet), to insult, to use up money"
"ただし";"ただし";"but, however, provided that"
"直ちに";"ただちに";"at once, immediately, directly, in person"
"たたみ";"たたみ";"counter for tatami mats, measure of room size (in mat units)"
"たたむ";"たたむ";"to fold (clothes), to close (a shop), to vacate"
"~たち";"~たち";
"立場";"たちば";"standpoint, position, situation"
"たちまち";"たちまち";"at once, in a moment, suddenly, all at once"
"たつ";"たつ";"to stand, to rise, to stand up; (intransitive) to find oneself (e.g. in a difficult position); (intransitive) to depart (on a plane, train, etc.)"
"だって";"だって";"but, however, still, yet, although, even though; (suffix) even, even if, or something"
"たっぷり";"たっぷり";"full, in plenty, ample"
"たて";"たて";"the vertical, height, front-to-back, length"
"建物";"たてもの";"building"
"立てる";"たてる";"to stand (something) up, to erect (something), to make (a noise, a sound), to put (tooth, claw, pointed object) to, to set (a plan, etc.), to decide (objective, schedule)"
"建てる";"たてる";"to build, to construct"
"例えば";"たとえば";"for example, e.g."
"谷";"たに";"valley"
"他人";"たにん";"another person, unrelated person, outsider, stranger"
"種";"たね";"kind, variety, (biological) species, (logical) species"
"楽しみ";"たのしみ";"enjoyment, pleasure, diversion, amusement, hobby, anticipation, looking forward to"
"たのむ";"たのむ";"to request, to beg, to ask, to call, to order, to reserve, to entrust to, to rely on"
"度";"たび";"time (three times, each time, etc.), times"
"旅";"たび";"travel, trip, journey"
"ダブル";"ダブル";"double"
"たぶん";"たぶん";"perhaps, probably; (nouns) generous, many, much, great"
"玉";"たま";"ball, sphere; (noun,) coin; (noun) jewel, pearl, testicles; (noun) staple (for a stapler), person (when commenting on their nature), character"
"たま";"たま";"bullet, shot, shell"
"たま";"たま";"casually, unexpectedly, accidentally, by chance"
"たまご";"たまご";"eggs, egg, spawn, roe; (noun) hen egg; (noun) (an expert) in the making"
"だます";"だます";"to trick, to cheat, to deceive"
"たまたま";"たまたま";"casually, unexpectedly, accidentally, by chance"
"たまに";"たまに";"occasionally, once in a while"
"たまらない";"たまらない";"intolerable, unbearable, unendurable, cannot help (doing), cannot but do, anxious to do, tremendous, out of this world, irresistible"
"たまる";"たまる";"to collect, to gather, to save, to accumulate, to pile up"
"だまる";"だまる";"to be silent"
"ダム";"ダム";"dam; (noun) dumb"
"ため";"ため";"good, advantage, benefit, welfare, sake, purpose, objective, aim, consequence, result, effect, affecting, regarding, concerning"
"ためいき";"ためいき";"sigh"
"ためらう";"ためらう";"to hesitate"
"ためる";"ためる";"to amass, to accumulate, to store, to leave unpaid"
"~だらけ";"~だらけ";
"だらしない";"だらしない";"slovenly, loose, sluttish, slatternly"
"短~";"たん~";
"~団";"~だん";
"単位";"たんい";"unit, denomination, credit (in school)"
"だんかい";"だんかい";"gradation, grade, stage, steps, order, class, phase"
"短期";"たんき";"short term"
"たんこう";"たんこう";"coal mine, coal pit"
"男子";"だんし";"youth, young man"
"たんじゅん";"たんじゅん";"simplicity"
"たんじょう";"たんじょう";"birth, creation, formation"
"ダンス";"ダンス";"dance"
"単数";"たんすう";"singular number"
"男性";"だんせい";"man, male, masculine gender"
"団体";"だんたい";"organization, organisation, association"
"団地";"だんち";"multi-unit apartments"
"たんとう";"たんとう";"charge (of an area of responsibility, but not necessarily supervision of staff)"
"単なる";"たんなる";"mere, simple, sheer"
"単に";"たんに";"simply, merely, only, solely"
"血";"ち";"blood, consanguinity"
"地";"ち";"earth, ground, land, soil, place, territory, bottom (of a package, book, etc.), earth (one of the five elements)"
"地位";"ちい";"position, status"
"ちいき";"ちいき";"area, region"
"チーズ";"チーズ";"cheese; (Expressions) say cheese! (when taking photographs)"
"チーム";"チーム";"team"
"ちえ";"ちえ";"wisdom, wit, sagacity, sense, intelligence, prajna (insight leading to enlightenment)"
"地下";"ちか";"basement, cellar, underground place; (prefix) underground, below ground; (prefix) secret, under cover; (noun) underground (railway), subway, metro"
"ちがい";"ちがい";"difference, discrepancy"
"ちがいない";"ちがいない";"sure, no mistaking it, for certain"
"近く";"ちかく";"near, neighbourhood, neighborhood, vicinity; (noun,) nearly (i.e. ""it took nearly one year""), close to; (adverb) shortly, soon"
"ちかごろ";"ちかごろ";"lately, recently, nowadays"
"地下鉄";"ちかてつ";"underground train, subway"
"力";"ちから";"force, strength, might, vigour (vigor), energy, capability, ability, proficiency, capacity, faculty, efficacy, effect, effort, endeavours (endeavors), exertions, power, authority, influence, good offices, agency, support, help, aid, assistance, stress, emphasis, means, resources"
"地球";"ちきゅう";"the earth"
"ちぎる";"ちぎる";"to pledge, to promise, to swear, to have sexual intercourse (esp. between husband and wife), to share a bed"
"地区";"ちく";"district, section, sector"
"知事";"ちじ";"prefectural governor"
"知識";"ちしき";"knowledge, information"
"知人";"ちじん";"friend, acquaintance"
"地図";"ちず";"map"
"地帯";"ちたい";"area, zone"
"父";"ちち";"father"
"父親";"ちちおや";"father"
"ちぢめる";"ちぢめる";"to shorten, to reduce, to boil down, to shrink"
"ちぢれる";"ちぢれる";"to be wavy, to be curled"
"ちっとも";"ちっとも";"not at all (neg. verb)"
"チップ";"チップ";"gratuity, tip, chip"
"地点";"ちてん";"site, point on a map, spot"
"地方";"ちほう";"area, locality, district, region, province, countryside, rural area, coast (esp. as seen from the water), person singing ballads in Noh, person in charge of music in a Japanese dance performance"
"ちめい";"ちめい";"place name"
"茶";"ちゃ";"tea, tea plant (Camellia sinensis), tea preparation, making tea, brown; (adjectival) mockery"
"茶色い";"ちゃいろい";"light brown, tawny"
"~着";"~ちゃく";
"~ちゃん";"~ちゃん";
"チャンス";"チャンス";"chance, opportunity"
"ちゃんと";"ちゃんと";"perfectly, properly, exactly"
"中";"ちゅう";"inside, in, among, within, center (centre), middle, during, while"
"ちゅう";"ちゅう";"annotation, explanatory note, comment"
"注意";"ちゅうい";"caution, being careful, attention (heed), warning, advice"
"中央";"ちゅうおう";"centre, central, center, middle"
"中学";"ちゅうがく";"middle school, junior high school"
"中間";"ちゅうかん";"middle, midway, interim"
"中止";"ちゅうし";"suspension, stoppage, discontinuance, interruption"
"ちゅうしゃ";"ちゅうしゃ";"injection"
"ちゅうしゃ";"ちゅうしゃ";"parking (e.g. car)"
"ちゅうじゅん";"ちゅうじゅん";"middle of a month, second third of a month"
"昼食";"ちゅうしょく";"lunch, midday meal, food served at a tea party (tea ceremony)"
"中心";"ちゅうしん";"center, centre, middle, heart, core, focus, pivot, emphasis, balance"
"中年";"ちゅうねん";"middle-age, middle age, midlife, one's middle years"
"注目";"ちゅうもく";"notice, attention, observation"
"注文";"ちゅうもん";"order, request"
"長~";"ちょう~";
"~ちょう";"~ちょう";
"~兆";"~ちょう";
"~町";"~ちょう";
"~長";"~ちょう";
"~ちょう";"~ちょう";
"ちょうか";"ちょうか";"excess, being more than"
"長期";"ちょうき";"long time period"
"ちょうこく";"ちょうこく";"carving, engraving, sculpture"
"調査";"ちょうさ";"investigation, examination, inquiry, enquiry, survey"
"調子";"ちょうし";"tune, tone, key, pitch, time, rhythm, vein, mood, way, manner, style, knack, condition, state of health, impetus, spur of the moment, strain, trend"
"ちょうしょ";"ちょうしょ";"strong point, merit, virtue, advantage"
"長女";"ちょうじょ";"eldest daughter"
"ちょうじょう";"ちょうじょう";"top, summit, peak"
"ちょうせい";"ちょうせい";"regulation, adjustment, tuning, modification, alteration"
"長短";"ちょうたん";"length, long and short, advantages and disadvantages, pluses and minuses, strong and weak points, merits and demerits"
"ちょうてん";"ちょうてん";"top, summit"
"ちょうど";"ちょうど";"just, right, exactly"
"長男";"ちょうなん";"eldest son"
"~ちょうめ";"~ちょうめ";
"チョーク";"チョーク";"chalk, choke, chock"
"貯金";"ちょきん";"savings"
"直後";"ちょくご";"immediately following"
"直接";"ちょくせつ";"direct, immediate, personal, firsthand"
"ちょくせん";"ちょくせん";"straight line"
"直前";"ちょくぜん";"just before"
"ちょしゃ";"ちょしゃ";"author (usu. of a particular book, etc.), writer"
"ちょっかく";"ちょっかく";"right angle, perpendicular"
"散らかす";"ちらかす";"to scatter around, to leave untidy"
"ちり";"ちり";"geography"
"ちりがみ";"ちりがみ";"tissue, toilet paper"
"ついに";"ついに";"finally, at last, (with neg) in the end"
"追加";"ついか";"addition, supplement, append (e.g. to a file), appendix"
"一日";"ついたち";"first day of the month, one day"
"~ついて";"~ついて";
"~通";"~つう";
"通過";"つうか";"passage through, transit, passing"
"通貨";"つうか";"currency"
"つうきん";"つうきん";"commuting to work"
"通行";"つうこう";"passage, passing"
"通ずる";"つうずる";"to run to, to lead to, to communicate, to understand, to be well-informed"
"通信";"つうしん";"correspondence, communication, transmission, news, signal"
"通知";"つうち";"notice, notification, report, posting"
"つうやく";"つうやく";"interpretation (i.e. oral translation)"
"つうよう";"つうよう";"popular use, circulation; (noun) to pass as"
"~づかい";"~づかい";
"使う";"つかう";"to use (a thing, method, etc.), to make use of, to put to use, to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate, to use (time, money, etc.), to spend, to consume, to use (language), to speak, to take (one's lunch), to circulate (bad money)"
"つかむ";"つかむ";"to seize, to catch, to grasp, to grip, to grab, to hold, to catch hold of, to lay one's hands on"
"つかれ";"つかれ";"tiredness, fatigue"
"月";"つき";"moon; (noun) month"
"~付";"~つき";
"次";"つぎ";"next, following, subsequent, stage, station"
"付き合い";"つきあい";"association, socializing, socialising, fellowship"
"つきあたり";"つきあたり";"end (e.g. of street)"
"次々";"つぎつぎ";"in succession, one by one"
"付く";"つく";"to be attached, to be connected with, to adhere, to stick, to cling, to remain imprinted, to scar, to stain, to dye, to bear (fruit, interest, etc.), to be acquired (of a habit, ability, etc.), to increase (of strength, etc.), to take root, to accompany, to attend, to follow, to study with, to side with, to belong to, to possess, to haunt, to be lit, to be lighted, to be settled, to be resolved, to be decided, to be given (of a name, price, etc.), to be sensed, to be perceived, to be lucky; (Godan) (after -masu stems, onomatopoeic and mimetic words) to become (a state, condition, etc.)"
"着く";"つく";"to arrive at, to reach, to sit on, to sit at (e.g. the table)"
"つく";"つく";"to ascend (the throne), to accede, to take (seat, position, course, etc.), to assume, to start (on a journey), to commence, to depart, to study (under teacher), to be an apprentice"
"点く";"つく";"to be lit (e.g. electricity comes on), to be lighted, to catch fire"
"つく";"つく";"to prick, to stab, to poke, to prod, to push, to thrust, to nudge, to hit, to strike, to use (a cane), to prop oneself up with, to press against (the floor, etc.), to attack, to brave (the rain, etc.)"
"つくえ";"つくえ";"desk"
"作る/造る";"つくる";
"付ける";"つける";"to attach, to join, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment), to furnish (a house with), to wear, to put on, to keep a diary, to make an entry, to appraise, to set (a price), to bring alongside, to place (under guard or doctor), to follow, to shadow, to load, to give (courage to), to keep (an eye on), to establish (relations or understanding), to turn on (light)"
"着ける";"つける";"to attach, to join, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment), to furnish (a house with), to wear, to put on, to keep a diary, to make an entry, to appraise, to set (a price), to bring alongside, to place (under guard or doctor), to follow, to shadow, to load, to give (courage to), to keep (an eye on), to establish (relations or understanding), to turn on (light)"
"点ける";"つける";"to turn on, to switch on, to light up"
"つける";"つける";"to soak, to seep, to dip in, to pickle"
"都合";"つごう";"circumstances, condition, convenience"
"伝える";"つたえる";"to convey, to report, to transmit, to communicate, to tell, to impart, to propagate, to teach, to bequeath"
"土";"つち";"earth, soil, dirt, the earth (historically, esp. as opposed to the heavens), the ground, the land, low-quality torinoko-gami (containing mud), (period of) refraining from construction in the direction of the god of the earth (in On'youdou)"
"続き";"つづき";"sequel, continuation, (also suffix) continuation (in time and space), second series, succession, spell"
"続く";"つづく";"to continue, to last, to go on, to be unbroken, to occur again and again, to lead to, to connect to"
"~続く";"~つづく";
"続ける";"つづける";"to continue, to keep up, to keep on"
"~続ける";"~つづける";
"包む";"つつむ";"to wrap up, to tuck in, to pack, to do up, to cover with, to dress in; (Godan) to conceal, to hide, to be engulfed in, to be enveloped by"
"つとめる";"つとめる";"to work (for), to be employed (at), to serve (in), to serve (as), to act (as), to fill (the position of), to play the role (of), to conduct a religious service"
"務める";"つとめる";"to work (for), to be employed (at), to serve (in), to serve (as), to act (as), to fill (the position of), to play the role (of), to conduct a religious service"
"努める";"つとめる";"to endeavor (endeavour), to try, to strive, to make an effort, to exert oneself, to be diligent"
"つながり";"つながり";"connection, link, relationship"
"つながる";"つながる";"to be tied together, to be connected to, to be related to"
"つなぐ";"つなぐ";"to tie, to fasten, to connect, to transfer (phone call)"
"つなげる";"つなげる";"to tie, to fasten, to connect, to transfer (phone call)"
"常に";"つねに";"always, constantly"
"つばさ";"つばさ";"wing, Chinese ""Wings"" constellation (one of the 28 mansions); (counter) counter for birds or bird wings"
"つぶす";"つぶす";"to smash, to crush, to shut down, to thwart, to block, to kill (time), to waste (e.g. talents)"
"つぶれる";"つぶれる";"to be smashed, to become useless, to cease functioning, to go bankrupt"
"妻";"つま";"wife, dear (formerly used by romantically linked men and women to refer to one another), garnish (esp. one served with sashimi), embellishment"
"つまずく";"つまずく";"to stumble, to trip, to fail"
"つまらない";"つまらない";"dull, uninteresting, boring, insignificant, trifling"
"罪";"つみ";"crime, fault, indiscretion, sin"
"つめ";"つめ";"nail (e.g. fingernail, toenail), claw, talon, hoof, plectrum, pick, hook, clasp"
"つめる";"つめる";"to pack, to fill, to plug, to stop up, to shorten (length or distance), to move over, to make room (for someone), to work out (details)"
"つゆ";"つゆ";"rainy season, rain during the rainy season"
"強気";"つよき";"firm, strong"
"~づらい";"~づらい";
"つり";"つり";"fishing, angling, change (e.g. for a purchase)"
"つりあう";"つりあう";"to balance, to be in harmony, to suit, to go well together, to counterbalance, to reach equilibrium"
"つる";"つる";"to fish"
"つる";"つる";"to hang, to suspend (something from something), to be hanged (by the neck)"
"つるす";"つるす";"to hang, to hang up"
"手";"て";"hand, arm, forepaw, foreleg, handle, hand, worker, help, trouble, care, effort, means, way, trick, move, technique, workmanship, hand, handwriting, kind, type, sort, one's hands, one's possession, ability to cope, hand (of cards), direction"
"出会い";"であい";"meeting, rendezvous, encounter"
"であい";"であい";"encounter"
"低~";"てい~";
"ていあん";"ていあん";"proposal, proposition, suggestion"
"定員";"ていいん";"fixed number of regular personnel, capacity (of boat, hall, aeroplane, airplane, etc.)"
"ていか";"ていか";"list price, regular price, established price"
"低下";"ていか";"fall, decline, lowering, deterioration, degradation"
"定期";"ていき";"fixed term, fixed-term commutation pass, fixed-term deposit"
"ていこう";"ていこう";"electrical resistance, resistance, opposition"
"停止";"ていし";"suspension, interruption, stoppage, ban, standstill, halt, hang-up, deadlock, stalemate, abeyance"
"ていしゅつ";"ていしゅつ";"to present, to submit (e.g. a report or a thesis), to hand in, to file, to turn in; (noun) presentation, submission, filing"
"程度";"ていど";"degree, amount, grade, standard, of the order of (following a number)"
"ていねい";"ていねい";"polite, courteous, careful, care, kind, close, thorough, conscientious"
"デート";"デート";"date, go on a date"
"テープ";"テープ";"tape"
"テーブル";"テーブル";"table"
"テープレコーダー";"テープレコーダー";"tape recorder"
"テーマ";"テーマ";"topic, theme, project"
"てき";"てき";"rival, opponent, adversary, foe, enemy"
"~的";"~てき";
"的確";"てきかく";"precise, accurate"
"適確";"てきかく";"precise, accurate"
"出来事";"できごと";"incident, affair, happening, event"
"テキスト";"テキスト";"text, text book"
"適切";"てきせつ";"pertinent, appropriate, adequate, relevance"
"適当";"てきとう";"suitable, adequate, relevant, appropriate, fit, random, halfhearted, on the spot, whatever works"
"適用";"てきよう";"applying (e.g. a technology), adoption"
"できる";"（可能。出現。発生）";"to be out of, to have no more at hand"
"できれば";"できれば";
"出口";"でぐち";"exit, gateway, way out, outlet, leak, vent"
"ですから";"ですから";"so, therefore"
"テスト";"テスト";"test"
"でたらめ";"でたらめ";"irresponsible utterance, nonsense, bullshit, codswallop, random, haphazard, unsystematic"
"てちょう";"てちょう";"notebook, memo pad"
"鉄";"てつ";"iron"
"てつがく";"てつがく";"philosophy"
"手続き";"てつづき";"procedure, (legal) process, formalities"
"てってい";"てってい";"thoroughness, completeness"
"鉄道";"てつどう";"railroad"
"テニス";"テニス";"tennis"
"テニスコート";"テニスコート";"tennis court"
"では";"では";"then, well, so, well then"
"デパート";"デパート";"department store"
"手前";"てまえ";"before, this side, one's standpoint, one's appearance; (nouns) we, you"
"でも";"でも";"but, however, still, yet, although, even though; (suffix) even, even if, or something"
"デモ";"デモ";"demo, demonstration"
"寺";"てら";"temple (Buddhist)"
"テレビ";"テレビ";"television, TV"
"点";"てん";"dot, point, mark, gidayuu musicians (in kabuki)"
"~点";"~てん";
"店員";"てんいん";"shop assistant, employee, clerk, salesperson"
"てんかい";"てんかい";"development, expansion (opposite of compression)"
"天気";"てんき";"weather, the elements, fair weather, fine weather"
"電気";"でんき";"electricity, (electric) light"
"てんけい";"てんけい";"type, pattern, archetypal"
"天候";"てんこう";"weather"
"電子";"でんし";"electron, (esp. as a prefix) electronic, electronics"
"電車";"でんしゃ";"train"
"でんち";"でんち";"battery"
"点々";"てんてん";"here and there, little by little, sporadically, scattered in drops, dot, spot"
"てんてん";"てんてん";"moving from place to place, being passed around repeatedly, rolling about"
"でんちゅう";"でんちゅう";"telephone pole, telegraph pole, lightpole"
"テント";"テント";"tent"
"でんとう";"でんとう";"electric light"
"でんとう";"でんとう";"tradition, convention"
"天然";"てんねん";"nature, spontaneity, natural airhead"
"てんのう";"てんのう";"Emperor of Japan"
"電波";"でんぱ";"electro-magnetic wave, radio wave; (adjectival) nonsense"
"テンポ";"テンポ";"tempo"
"てんらんかい";"てんらんかい";"exhibition"
"電力";"でんりょく";"electric power"
"電話";"でんわ";"telephone"
"戸";"と";"door (esp. Japanese-style), entrance (to a home), narrows"
"都";"と";"capital, metropolis"
"ドア";"ドア";"door (Western-style)"
"問い";"とい";"question, query"
"問い合わせ";"といあわせ";"enquiry, inquiry, ENQ, query, interrogation"
"トイレ";"トイレ";"toilet, restroom, bathroom, lavatory"
"とう";"とう";"party (political), faction, -ite"
"とう";"とう";"tower, pagoda"
"~頭";"~とう";
"~等";"~とう";
"~島";"~とう";
"どう";"（接。副）";"how, in what way, how about"
"銅";"どう";"copper"
"同~";"どう~";
"~道";"~どう";
"どういたしまして";"（感）";"you are welcome, don't mention it, not at all, my pleasure"
"とういつ";"とういつ";"unity, consolidation, uniformity, unification, compatible"
"同一";"どういつ";"identity, sameness, similarity, equality, fairness"
"道具";"どうぐ";"implement, tool, means"
"とうけい";"とうけい";"statistics"
"東西";"とうざい";"East and West, whole country, Orient and Occident, Western and Eastern, Your attention, please!"
"当時";"とうじ";"at that time, in those days"
"同時";"どうじ";"simultaneous(ly), concurrent, same time, synchronous, together"
"当日";"とうじつ";"appointed day, very day"
"どうして";"どうして";"why?, for what reason, how, in what way, for what purpose, what for"
"どうしても";"どうしても";"by all means, at any cost, no matter what, after all, in the long run, cravingly, at any rate, surely"
"とうしょ";"とうしょ";"letter to the editor, letter from a reader, contribution"
"登場";"とうじょう";"entry (on stage), appearance (on screen), entrance, introduction (into a market)"
"どうせ";"どうせ";"anyhow, in any case, at any rate, after all, at best, at most, at all"
"どうぞ";"どうぞ";"please, kindly, by all means"
"どうぞよろしく";"どうぞよろしく";"pleased to meet you"
"とうちゃく";"とうちゃく";"arrival"
"とうとう";"とうとう";"finally, at last, reaching a head"
"とうなん";"とうなん";"theft, robbery"
"とうひょう";"とうひょう";"voting, poll"
"動物";"どうぶつ";"animal"
"とうぶん";"とうぶん";"division into equal parts"
"とうめい";"とうめい";"transparency, cleanness"
"どうも";"どうも";"thanks; (adverb) much (thanks), very (sorry), quite (regret); (adverb) quite, really; (adverb) somehow; (adverb) no matter how hard one may try; (interjection) greetings, hello, goodbye"
"とうゆ";"とうゆ";"lamp oil, kerosene"
"東洋";"とうよう";"Orient"
"同様";"どうよう";"identical, equal to, same (kind), like, similarity"
"どうりょう";"どうりょう";"coworker, colleague, associate"
"道路";"どうろ";"road, highway"
"通り";"とおり";"avenue, street, way"
"~通り";"~とおり";
"とおりかかる";"とおりかかる";"to happen to pass by"
"都会";"とかい";"city"
"とがる";"とがる";"to taper to a point, to become sharp, to look displeased, to look sour"
"時";"とき";"time, hour, occasion, moment"
"時々";"ときどき";"sometimes, at times"
"どきどき";"どきどき";"throb, beat (fast)"
"とく";"とく";"to dissolve (paint), to scramble (eggs), to melt (metal, etc.), to mix (water with flour, etc.)"
"解く";"とく";"to solve, to answer, to untie, to comb, to untangle (hair)"
"退く";"どく";"to step aside, to move (i.e. out of the way), to make way, to resign, to retire, to quit, to secede"
"得意";"とくい";"triumph, prosperity, pride, one's strong point, one's forte, one's specialty, frequent customer (client, etc.)"
"とくしゅ";"とくしゅ";"special, unique"
"読書";"どくしょ";"reading"
"特色";"とくしょく";"characteristic, feature, idiosyncrasy, personal colour"
"独身";"どくしん";"bachelorhood, single, unmarried, celibate"
"とくちょう";"とくちょう";"feature, trait, characteristic, pecularity"
"とくちょう";"とくちょう";"forte, merit"
"特定";"とくてい";"specific, special, particular"
"独特";"どくとく";"peculiarity, uniqueness, characteristic"
"特に";"とくに";"particularly, especially"
"特別";"とくべつ";"special"
"独立";"どくりつ";"independence (e.g. Independence Day), self-support"
"時計";"とけい";"watch, clock, timepiece"
"とける";"とける";"to melt, to thaw, to fuse, to dissolve"
"解ける";"とける";"to be solved, to loosen, to come untied, to be removed (e.g. restrictions), to be cleared (e.g. misunderstandings), to be broken (e.g. spells, curses), to melt"
"退ける";"どける";"to repel, to drive away, to repulse, to reject"
"どこか";"どこか";"somewhere, anywhere, in some respects"
"とこや";"とこや";"barbershop, barber"
"所";"ところ";"place, spot, scene, site, address, district, area, locality, one's house, point, part, space, room, whereupon, as a result, (after present form of a verb) about to, on the verge of"
"~ところ";"~ところ";
"ところが";"ところが";"even so, however, still, whereupon, even though, nevertheless, on the contrary, as a matter of fact, despite"
"ところで";"ところで";"by the way, incidentally, even if, no matter (who, what, when, where, why, how)"
"登山";"とざん";"mountain climbing"
"年";"とし";"year; (suffix) age"
"都市";"とし";"town, city, municipal, urban"
"図書";"としょ";"books"
"年寄";"としより";"old people, the aged, sumo coaches"
"とじる";"とじる";"to close (e.g. book, eyes, meeting, etc.), to shut"
"都心";"としん";"city centre (center) (esp. capital city), urban centre, heart of city a metropolis"
"とたん";"とたん";"just (now, at the moment, etc.)"
"土地";"とち";"plot of land, lot, soil"
"とちゅう";"とちゅう";"on the way, en route, in the middle of, midway"
"どちら";"どちら";"which way, which direction, where, which one (esp. of two alternatives), who"
"どっち";"どっち";"which way, which direction, where, which one (esp. of two alternatives), who"
"とっくに";"とっくに";"long ago, already, a long time ago"
"とつぜん";"とつぜん";"abrupt, sudden, unexpected, all at once"
"どっと";"どっと";"suddenly"
"トップ";"トップ";"top, top position, senior management, senior bureaucrat"
"とても";"とても";"very, awfully, exceedingly, (before a negative form) (not) at all, by no means, simply (cannot)"
"とどく";"とどく";"to reach, to arrive, to get through, to get at, to be attentive, to pay attention, to be delivered, to carry (e.g. sound)"
"とどける";"とどける";"to deliver, to forward, to send, to report, to file notice (to the authorities)"
"どなた";"どなた";"who?"
"となり";"となり";"neighbor (neighbour), next to (esp. living next door to)"
"とにかく";"とにかく";"anyhow, at any rate, anyway, somehow or other, generally speaking, in any case"
"どの";"どの";"form of address used for official letters and business letters, and in letters to inferiors, Mr"
"~どの";"~どの";
"止める";"とめる";"to stop (something or someone), to turn off, to concentrate on, to pay attention to, to remember, to bear in mind, to fix into place, to park, to leave somewhere for a time"
"留める";"とめる";"to stop (something or someone), to turn off, to concentrate on, to pay attention to, to remember, to bear in mind, to fix into place, to park, to leave somewhere for a time"
"とめる";"とめる";"to give shelter to, to lodge"
"友";"とも";"friend, companion, pal"
"ともかく";"ともかく";"anyhow, anyway, somehow or other, generally speaking, in any case"
"友達";"ともだち";"friend, companion"
"共に";"ともに";"sharing with, participate in, both, alike, together, along with, with, including"
"土曜";"どよう";"Saturday"
"とら";"とら";"tiger (feline, Panthera tigris), drunk person, trouble"
"ドライブ";"ドライブ";"drive, trip by car, driving; (intransitive) to (go for a) drive, to go on a trip by car; (transitive) to drive (e.g. a car); (transitive) to drive (innovation, change, etc.), to propel"
"トラック";"トラック";"truck, track (running, CD, DVD, etc.)"
"ドラマ";"ドラマ";"drama"
"トランプ";"トランプ";"playing cards (from trump)"
"鳥";"とり";"bird, bird meat (esp. chicken meat), fowl, poultry"
"取り入れる";"とりいれる";"to harvest, to reap, to take in, to gather in, to adopt"
"努力";"どりょく";"great effort, exertion, endeavour, endeavor, effort"
"取る";"とる";"to take, to pick up, to harvest, to earn, to choose, to steal, to eat, to have (a meal), to remove (one's glasses, etc.)"
"どれ";"どれ";"which (of three or more), whichever, any; (interjection) well, now, let me see"
"トレーニング";"トレーニング";"training"
"ドレス";"ドレス";"dress"
"取れる";"とれる";"to come off, to be removed, (of pain, a fever, etc.) to disappear, to be caught, to be harvested, to be interpreted (as), to be taken as, (of balance, etc.) to be attained, to be obtainable"
"とん";"（1000";"ton (now usu. a metric ton, i.e. 1,000kg)"
"とんでもない";"とんでもない";"unthinkable, unexpected, outrageous, offensive; (Expressions) absolutely not!, not at all!, far from it!, impossible!, preposterous!, what a thing to say!, no way!, bullshit, don't mention it, you're welcome"
"どんどん";"どんどん";"drumming (noise), rapidly, steadily"
"どんな";"どんな";"what, what kind of"
"どんなに";"どんなに";"how, how much"
"トンネル";"トンネル";"tunnel"
"名";"な";"name, reputation"
"ない";"ない";"nonexistent, not being (there), unpossessed, unowned, not had, unique, indicates negation, inexperience, unnecessariness or impossibility; (auxiliary) (after the ren'youkei form of an adjective) not ..., (after the -te form of a verb) to not be..., to have not ..."
"~内";"~ない";
"ないせん";"ないせん";"phone extension, indoor wiring, inner line"
"ナイフ";"ナイフ";"knife"
"内容";"ないよう";"subject, contents, matter, substance, detail, import"
"ナイロン";"ナイロン";"nylon"
"なお";"なお";"furthermore, still, yet, more, still more, in addition, greater, further"
"~直す";"~なおす";
"仲";"なか";"relation, relationship"
"流す";"ながす";"to drain, to pour, to spill, to shed (blood, tears), to wash away, to distribute (e.g. electricity over wires, music over a PA system, etc.), to circulate, to broadcast, to beam, to cruise (e.g. taxi), to float, to set adrift"
"仲直り";"なかなおり";"reconciliation, make peace with"
"なかなか";"なかなか";"very, considerably, easily, readily, fairly, quite, highly, rather, by no means (with negative verb)"
"半ば";"なかば";"middle, half, semi, halfway, partly"
"仲間";"なかま";"samurai's attendant, footman"
"中身";"なかみ";"contents, interior, substance, filling, (sword) blade"
"中味";"なかみ";"contents, interior, substance, filling, (sword) blade"
"流れ";"ながれ";"stream, current, flow"
